Ship Name                     ,Hull No.    ,Record Group,Series NAID ,Record Entry,Container           ,StartDate ,EndDate   ,Nara URL                                          ,#Images     ,Document URL
USS Jamestown                 ,            ,24          ,581208      ,A1 118-A    ,Volume 27 of 67     ,1868-07-01,1868-08-31,https://catalog.archives.gov/id/7284454           ,50          ,            
USS  IROQUOIS                 ,            ,24          ,581208      ,A1 118-A    ,4                   ,1862-07-04,1862-10-06,https://catalog.archives.gov/id/183321559         ,50          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-09/581208-iroquois-004/581208-iroquois-004.pdf
USS Thetis                    ,            ,24          ,581208      ,A1 118-A    ,Volume 24 of 24     ,1897-06-01,1897-07-31,https://catalog.archives.gov/id/7284517           ,51          ,            
USS  SEMINOLE                 ,            ,24          ,581208      ,A1 118-A    ,1                   ,1860-04-25,1860-07-28,https://catalog.archives.gov/id/169781174         ,51          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-03/581208-seminole-001/581208-seminole-001.pdf
USS  WYOMING                  ,            ,24          ,581208      ,A1 118-A    ,10                  ,1868-01-01,1868-02-10,https://catalog.archives.gov/id/169811915         ,51          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-03/581208-wyoming-010/581208-wyoming-010.pdf
USS  PORTSMOUTH               ,            ,24          ,581208      ,A1 118-A    ,42                  ,1876-07-01,1876-08-07,https://catalog.archives.gov/id/183338290         ,51          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-042/581208-portsmouth-042.pdf
USS  CONSTELLATION            ,            ,24          ,581208      ,A1 118-A    ,44                  ,1879-12-10,1880-01-24,https://catalog.archives.gov/id/183316226         ,52          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-09/581208-constellation-044/581208-constellation-044.pdf
USS  BRANDYWINE               ,            ,24          ,581208      ,A1 118-A    ,22                  ,1864-07-24,1864-10-21,https://catalog.archives.gov/id/183309970         ,53          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-09/581208-brandywine-022/581208-brandywine-022.pdf
USS  HARTFORD                 ,            ,24          ,581208      ,A1 118-A    ,18                  ,1868-07-01,1868-08-14,https://catalog.archives.gov/id/167172404         ,54          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-01/581208-hartford-018/581208-hartford-018.pdf
USS  WYOMING                  ,            ,24          ,581208      ,A1 118-A    ,21                  ,1877-11-20,1878-02-20,https://catalog.archives.gov/id/169813142         ,54          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-03/581208-wyoming-021/581208-wyoming-021.pdf
USS Ossipee                   ,            ,24          ,581208      ,A1 118-A    ,Volume 15           ,1870-07-01,1872-09-30,https://catalog.archives.gov/id/33221224          ,55          ,https://catalog.archives.gov/OpaAPI/media/33221224/content/dc-metro/rg-024/581208/0002-A1/ossipee-vol15of49/ossipee-vol15of49.pdf
USS  ONEIDA                   ,            ,24          ,581208      ,A1 118-A    ,5                   ,1865-05-10,1865-08-11,https://catalog.archives.gov/id/169765321         ,55          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-03/581208-oneida-005/581208-oneida-005.pdf
USS  MONONGAHELA              ,            ,24          ,581208      ,A1 118-A    ,4                   ,1865-01-01,1865-04-10,https://catalog.archives.gov/id/167209322         ,56          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-01/581208-monongahela-004/581208-monongahela-004.pdf
USS Yantic                    ,            ,24          ,581208      ,A1 118-A    ,vol06of67           ,1866-08-01,1866-11-30,https://catalog.archives.gov/id/148883559         ,57          ,            
USS  SEMINOLE                 ,            ,24          ,581208      ,A1 118-A    ,4                   ,1865-04-28,1865-08-11,https://catalog.archives.gov/id/169781616         ,57          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-03/581208-seminole-004/581208-seminole-004.pdf
